STATE	Country	ZIP	
AL	USA	35611	
AL	USA	36049	
AL	USA	35055	
AZ	USA	85929	
AZ	USA	86429	
AR	USA	72143	
AR	USA	71653	
CA	USA	95501	
CO	USA	80534	
CO	USA	80534	
CT	USA	06250	
DE	USA	19947	
FL	USA	32063	
GA	USA	31830	
GA	USA	31830	
GA	USA	30655	
ID	USA	83221	
IL	USA	62906	
IN	USA	47025	
IN	USA	46562	
IN	USA	47374	
IN	USA	47250	
IN	USA	46952	
IN	USA	46947	
IN	USA	46563	
IN	USA	46706	
IN	USA	46506	
IA	USA	51012	
IA	USA	50644	
KS	USA	67550	
KS	USA	67114	
KS	USA	66064	
KY	USA	40422	
KY	USA	40701	
KY	USA	42003	
KY	USA	42431	
KY	USA	42240	
KY	USA	42240	
LA	USA	71270	
LA	USA	71373	
LA	USA	70570	
LA	USA	71457	
LA	USA	71446	
LA	USA	70546	
LA	USA	71220	
LA	USA	71019	
LA	USA	71446	
LA	USA	70748	
LA	USA	71270	
LA	USA	70634	
LA	USA	70546	
LA	USA	71220	
LA	USA	70570	
LA	USA	70071	
LA	USA	71322	
ME	USA	04330	
MD	USA	21613	
MI	USA	49080	
MI	USA	48723	
MI	USA	48176	
MN	USA	56201	
MN	USA	56308	
MN	USA	56537	
MN	USA	56601	
MN	USA	56425	
MN	USA	56701	
MS	USA	39301	
MS	USA	39301	
MS	USA	39183	
MS	USA	38701	
MS	USA	38804	
MO	USA	65251	
MO	USA	63640	
MO	USA	65360	
MO	USA	65065	
MT	USA	59601	
MT	USA	59756	
NH	USA	03301	
NH	USA	03301	
NJ	USA	08037	
NM	USA	88203	
NY	USA	13669	
NC	USA	27509	
NC	USA	27509	
NC	USA	28339	
ND	USA	58401	
OH	USA	45701	
OH	USA	45863	
OH	USA	44041	
OH	USA	44883	
OH	USA	45121	
OK	USA	74801	
OK	USA	74401	
OK	USA	74447	
OK	USA	73841	
OK	USA	74501	
OK	USA	74820	
OK	USA	74354	
PA	USA	16365	
PA	USA	16214	
PA	USA	17257	
SC	USA	29646	
SC	USA	29118	
SC	USA	29720	
SD	USA	57078	
TN	USA	38237	
TN	USA	38237	
TN	USA	38008	
TN	USA	38401	
TN	USA	38401	
TX	USA	75904	
TX	USA	77550	
TX	USA	79721	
TX	USA	75160	
TX	USA	75785	
TX	USA	78028	
TX	USA	75401	
TX	USA	79072	
TX	USA	79706	
TX	USA	75904	
VT	USA	05301	
VT	USA	05602	
VA	USA	23124	
VA	USA	24541	
VA	USA	24354	
WV	USA	24740	
WV	USA	26301	
WV	USA	26452	
WI	USA	53185	
WI	USA	54449	
WY	USA	82609	
WY	USA	82931	
TX	USA	76086	
LA	USA	70427	
